rank,intersection_name,longitude,latitude,risk_score,percentile,in_top200
148,Laning Road & Rosecrans Street,-117.22268835000821,32.73218295000249,0.047291,99.8,True
149,East Market Street & West Market Street,-117.16378059999998,32.711523000000014,0.047291,99.8,True
150,Lamont Street & Reed Avenue,-117.234154,32.797152999999994,0.047219,99.8,True
151,52nd Street & University Avenue,-117.08360235000042,32.74909944999999,0.04713,99.8,True
152,Deep Dell Road & Paradise Valley Road,-117.029343,32.69541499999999,0.046911,99.8,True
153,Dana Landing Road & West Mission Bay Drive,-117.237911,32.7655488,0.046877,99.8,True
154,Mission Bay Drive & North Mission Bay Drive,-117.21144099999353,32.79803285000277,0.046877,99.8,True
155,Clairemont Mesa Boulevard & Ruffin Road,-117.1267381,32.83133730000001,0.046782,99.8,True
156,Norstad Avenue & Palm Avenue,-117.05405310000002,32.5838937,0.046665,99.8,True
157,Bond Street & Garnet Avenue,-117.22106200000002,32.80564,0.046609,99.8,True
158,Sports Arena Boulevard & West Point Loma Boulevard,-117.2194986,32.75481400000001,0.046538,99.8,True
159,Del Mar Avenue,-117.23911550000001,32.73150679999997,0.046446,99.8,True
160,Fairmount Avenue & Olive Street,-117.100991,32.7351721,0.046438,99.8,True
161,East Mission Bay Drive & Pacific Highway,-117.2087762,32.7672375,0.046338,99.8,True
162,Park Boulevard,-117.1583503,32.704553400000016,0.046276,99.8,True
163,North Harbor Drive & Scott Street,-117.22678299999998,32.7256862,0.046273,99.8,True
164,6th Avenue & Island Avenue,-117.1592221,32.7104362,0.046248,99.8,True
165,Mission Boulevard & Reed Avenue,-117.2543217,32.79276049999999,0.046139,99.8,True
166,65th Street & Imperial Avenue,-117.0580763,32.71059110000001,0.046134,99.8,True
167,Main Street & South 28th Street,-117.13378310000002,32.69280230000001,0.046133,99.8,True
168,Rolando Boulevard & University Avenue,-117.05830750000001,32.75475430000002,0.046132,99.8,True
169,Carmel Creek Road & Carmel Mountain Road,-117.2283226,32.92225989999998,0.046125,99.8,True
170,10th Avenue & F Street,-117.15559230000001,32.71363829999999,0.046067,99.8,True
171,50th Street & Imperial Avenue,-117.08675850000002,32.70402270000002,0.046064,99.8,True
172,East Harbor Drive & Vesta Street,-117.1193263,32.681451200000005,0.04598,99.8,True
173,55th Street & Amanda Street,-117.0764337,32.706987400000024,0.045959,99.8,True
174,La Jolla Boulevard & Mission Boulevard,-117.258072,32.804981000000005,0.045874,99.8,True
175,Auburn Drive & Euclid Avenue,-117.09231280000002,32.748462700000005,0.045824,99.8,True
176,Camino del Rio North & Mission Center Road,-117.15328240000001,32.76689920000001,0.04577,99.8,True
177,Mission Bay Drive,-117.21531742500795,32.80191797501492,0.045761,99.8,True
178,Ingraham Street & Perez Cove Way,-117.2335904,32.7678359,0.045725,99.8,True
179,Skyline Drive & Skyline Terrace,-117.0367816,33.10990459999999,0.045623,99.8,True
180,2nd Avenue & East Market Street,-117.1628671,32.71142940000001,0.045592,99.8,True
181,Pershing Drive & Upas Street,-117.133728,32.7409373,0.045592,99.8,True
182,Boulder Lake Avenue & Navajo Road,-117.01774639999998,32.80334649999999,0.045454,99.8,True
183,Hensley Street & Imperial Avenue,-117.1345675,32.706375,0.045353,99.8,True
184,Camino del Rio West & Hancock Street,-117.2049104,32.75412809999999,0.045325,99.8,True
185,Waring Road & Zion Avenue,-117.08065939998646,32.792728650006126,0.045303,99.8,True
186,Euclid Avenue & Hilltop Drive,-117.0849724,32.71501580000001,0.045282,99.8,True
187,Kettner Boulevard & West Ash Street,-117.1691976,32.7198482,0.045242,99.8,True
188,Fairmount Avenue & Glenfield Street,-117.100981933345,32.73845096667704,0.045228,99.8,True
189,Balboa Avenue & Grand Avenue,-117.23417380000001,32.799192199999986,0.045187,99.8,True
190,Balboa Avenue & Genesee Avenue,-117.1817993,32.81930530000002,0.045187,99.8,True
191,Mission Avenue & Park Boulevard,-117.14624800000001,32.75721699999999,0.045177,99.8,True
192,La Jolla Village Drive & North Torrey Pines Road,-117.24234280000002,32.8701462,0.04514,99.8,True
193,California Street & Pacific Highway,-117.17099999999999,32.71356619999999,0.045113,99.8,True
194,Dawes Street & Grand Avenue,-117.24943870000001,32.795915799999975,0.045101,99.8,True
195,Liberator Way & North Harbor Drive,-117.187932,32.728936099999984,0.045039,99.8,True
196,46th Street & University Avenue,-117.09551644999932,32.749586000000015,0.045037,99.8,True
197,Commercial Street & South 28th Street,-117.13388150000002,32.7052954,0.045008,99.8,True
198,13th Street & F Street,-117.15285609999998,32.713657100000006,0.045003,99.8,True
199,Intersection 2cd2fdc8,-117.2320638,32.76148669999999,0.044998,99.8,True
200,Black Mountain Road & Hillery Drive,-117.12441249999999,32.91289340000001,0.044897,99.8,True
201,La Media Road & Otay Mesa Road,-116.9623432,32.567854600000004,0.044878,99.8,False
202,Clairemont Mesa Boulevard & Genesee Avenue,-117.1948562,32.834565300000015,0.044831,99.8,False
203,Balboa Avenue & Mount Everest Boulevard,-117.1854547,32.8181005,0.044773,99.7,False
204,16th Street & Imperial Avenue,-117.1494335,32.706267999999994,0.044767,99.7,False
205,Imperial Avenue & South Euclid Avenue,-117.08494450000002,32.70449990000001,0.044736,99.7,False
206,Friars Road & Riverdale Street,-117.09960439999999,32.7906092,0.044689,99.7,False
207,Nimitz Boulevard & North Harbor Drive,-117.22139870000001,32.7256178,0.044543,99.7,False
208,North Harbor Drive,-117.17694110000001,32.72769459999998,0.044542,99.7,False
209,Mission Gorge Road & Old Cliffs Road,-117.09183700000001,32.79979130000001,0.044487,99.7,False
210,Esplendente Boulevard & Tierrasanta Boulevard,-117.1010179,32.8231822,0.044441,99.7,False
211,Kearny Villa Road,-117.1396944,32.83097099999999,0.044426,99.7,False
212,State Street & West Laurel Street,-117.16947710000001,32.730818,0.04438,99.7,False
213,Margerum Avenue & Mission Gorge Road,-117.06791430000001,32.80951360000001,0.044313,99.7,False
214,5th Avenue & Laurel Street,-117.16029400000001,32.7313886,0.04424,99.7,False
215,Del Sol Boulevard & Kostner Drive,-117.04354966249657,32.57359606251985,0.044217,99.7,False
216,Adair Street & Santa Barbara Street,-117.24817110000001,32.7317315,0.044202,99.7,False
217,Mira Mesa Boulevard & Pacific Heights Boulevard,-117.18938780000002,32.899942,0.044189,99.7,False
218,Juan Street & Taylor Street,-117.1986141,32.75678709999999,0.044174,99.7,False
219,Innovation Parkway & Mission Village Drive,-117.12014199999999,32.7863779,0.044119,99.7,False
220,Elm Avenue & Saturn Boulevard,-117.09269150000002,32.58065969999999,0.04409,99.7,False
221,North Harbor Drive & West Harbor Drive,-117.17113080000001,32.711484,0.044036,99.7,False
222,Pacific Highway,-117.1805691,32.73827980000001,0.043994,99.7,False
223,Coronado Avenue,-117.0848556,32.57648610000002,0.043954,99.7,False
224,Cactus Road & Otay Mesa Road,-116.98829100000002,32.56820180000001,0.043914,99.7,False
225,Euclid Avenue & Orange Avenue,-117.09225620000001,32.753112099999996,0.04378,99.7,False
226,Grand Avenue & Morrell Street,-117.2329228,32.79944469999999,0.043757,99.7,False
227,Coronado Avenue,-117.1009574,32.57650399999999,0.043736,99.7,False
228,University Avenue & Winona Avenue,-117.08800639999998,32.7495043,0.043721,99.7,False
229,Florida Street & University Avenue,-117.14372300000001,32.748435999999984,0.043673,99.7,False
230,Roll Drive & Siempre Viva Road,-116.9376321,32.55651840000001,0.043608,99.7,False
231,19th Street & East Market Street,-117.14671299999999,32.711535999999995,0.043554,99.7,False
232,Fairmount Avenue & Landis Street,-117.10093320000001,32.74587770000001,0.043495,99.7,False
233,Mission Bay Drive & Rosewood Street,-117.21363170000001,32.800606800000025,0.043381,99.7,False
234,Robinson Avenue & West Robinson Avenue,-117.16389269999999,32.74693109999998,0.043353,99.7,False
235,Cowles Mountain Boulevard & Navajo Road,-117.02538640000002,32.80324830000001,0.043348,99.7,False
236,Santo Road & Tierrasanta Boulevard,-117.1041674,32.82341480000001,0.043304,99.7,False
237,Luigi Terrace,-117.2072392,32.85927060000002,0.043292,99.7,False
238,Ingraham Street & Riviera Drive,-117.23627760000001,32.77988879999999,0.043281,99.7,False
239,Howard Avenue & Texas Street,-117.13881699999999,32.75404249999998,0.043266,99.7,False
240,College Avenue & Cresita Drive,-117.068657,32.76871899999998,0.04325,99.7,False
241,4th Avenue & J Street,-117.16104340000001,32.709398699999994,0.043232,99.7,False
242,Linda Vista Road & Morena Boulevard,-117.19784280000002,32.76448069999999,0.043222,99.7,False
243,Morena Boulevard & West Morena Boulevard,-117.2067528,32.77500110000002,0.043214,99.7,False
244,Convoy Street & Kearny Mesa Road,-117.1526105,32.8135228,0.043213,99.7,False
245,33rd Street & Imperial Avenue,-117.122551,32.70673000000001,0.043175,99.7,False
246,Kurtz Street & Pacific Highway,-117.19988720000002,32.74990869999999,0.043149,99.7,False
247,67th Street & El Cajon Boulevard,-117.05367540000002,32.768589999999996,0.043117,99.7,False
248,6th Avenue & F Street,-117.15925320000001,32.71362919999999,0.042972,99.7,False
249,North Evergreen Street & Rosecrans Street,-117.2093574,32.747167100000006,0.042957,99.7,False
250,15th Street & Imperial Avenue,-117.1503596,32.706287600000024,0.042942,99.7,False
251,Avenida Venusto & Bernardo Heights Parkway,-117.0757334,33.00761020000002,0.042917,99.7,False
252,Friars Road & Mission Gorge Road,-117.0980756,32.79141680000001,0.04287,99.7,False
253,Ocean View Avenue & Ocean View Court,-117.29190800000002,33.05321499999999,0.042867,99.7,False
254,Black Mountain Road & Mira Mesa Boulevard,-117.12473870000001,32.917244100000005,0.042866,99.7,False
255,13th Street & G Street,-117.152842,32.712612499999985,0.042847,99.7,False
256,Miramar Road & Nobel Drive,-117.1910478,32.87634739999998,0.042688,99.7,False
257,Appleton Street & Genesee Avenue,-117.19601810000002,32.8376872,0.042685,99.7,False
258,Marlborough Avenue & Orange Avenue,-117.10616400000002,32.753223000000006,0.04257,99.7,False
259,41st Street & University Avenue,-117.1069471,32.7496638,0.04252,99.7,False
260,Goshen Street & Linda Vista Road,-117.1882159,32.7703034,0.042509,99.7,False
261,42nd Street & University Avenue,-117.1044769,32.74964490000001,0.042459,99.7,False
262,39th Street & University Avenue,-117.11064889999999,32.74969950000003,0.042453,99.7,False
263,16th Street & Broadway,-117.149483,32.715755,0.042403,99.7,False
264,Clairemont Drive & Clairemont Mesa Boulevard,-117.2061303,32.8276307,0.042375,99.7,False
265,30th Street & East Market Street,-117.130227,32.71165029999999,0.042274,99.7,False
266,Ingraham Street & Pacific Beach Drive,-117.23909800000001,32.793957000000006,0.042274,99.7,False
267,71st Street & El Cajon Boulevard,-117.0448696,32.7687992,0.042198,99.7,False
268,Union Street & West Beech Street,-117.16561429999999,32.72090959999999,0.042173,99.7,False
269,Calle Cristobal & Camino Ruiz,-117.1447987,32.9319572,0.042144,99.7,False
270,Mission Gorge Road,-117.0977584,32.7908771,0.042142,99.7,False
271,Lake Murray Boulevard & Navajo Road,-117.01027570000001,32.80292709999999,0.042082,99.7,False
272,Genesee Avenue & Governor Drive,-117.2046629,32.854543500000005,0.042053,99.7,False
273,17th Street & East Market Street,-117.1485616,32.7115377,0.042022,99.7,False
274,Chicano Park Boulevard & East Harbor Drive,-117.1473605,32.698326500000015,0.041991,99.7,False
275,El Cajon Boulevard & Menlo Avenue,-117.09437770000001,32.755769300000004,0.041985,99.7,False
276,Fairmount Avenue & Maple Street,-117.1010152,32.733340899999995,0.041973,99.7,False
277,Euclid Avenue & University Avenue,-117.092299,32.749541,0.041968,99.7,False
278,Moore Street & Riley Street,-117.20442920000002,32.75502520000003,0.041865,99.7,False
279,Ardath Road & Hidden Valley Road,-117.2519411,32.849595099999995,0.041851,99.7,False
280,5th Avenue & B Street,-117.1601971,32.71781200000001,0.041815,99.7,False
281,Main Street & Una Street,-117.117027,32.68665700000002,0.041774,99.7,False
282,Mission Boulevard & San Rafael Place,-117.25350660000234,32.78715170000714,0.0417,99.7,False
283,G Street & Park Boulevard,-117.153846,32.712606900000004,0.041641,99.7,False
284,5th Avenue & G Street,-117.16015650000001,32.7125721,0.041634,99.6,False
285,Del Mar Heights Road & Paseo Place,-117.2366145,32.95288480000001,0.041617,99.6,False
286,Garnet Avenue & Mission Boulevard,-117.2554939,32.79656529999998,0.041614,99.6,False
287,Camino del Rio North & Mission City Parkway,-117.12568130000001,32.776812999999976,0.041597,99.6,False
